Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),SERP Features
emergency boarding up coventry,,90,"0.00,0.50,0.50,0.35,0.64,1.00,0.78,0.78,0.64,0.78,0.64,0.64",,0.00,
emergency locksmith leamington spa,Commercial,90,"0.21,1.00,1.00,0.64,0.78,0.78,0.78,1.00,0.78,0.78,0.64,0.78",11,7.80,"Reviews, People also ask, Local pack, Related searches"
emergency locksmith rugby,,90,"0.18,0.64,0.82,0.64,0.82,1.00,1.00,0.82,0.64,0.64,0.64,1.00",,9.20,
locksmiths nuneaton,Commercial,90,"0.35,0.50,0.64,0.64,0.50,1.00,1.00,0.78,0.64,0.78,0.28,0.78",14,11.84,"Reviews, People also ask, Local pack, Related searches"
nuneaton locksmith,Commercial,90,"0.34,0.42,0.42,0.26,0.19,0.53,0.34,0.65,0.34,0.34,1.00,0.34",11,11.84,"Reviews, Local pack, Related searches"
rugby locksmith,,90,"0.21,0.35,0.50,0.28,0.50,0.64,0.64,1.00,0.78,1.00,0.50,0.50",,9.64,
locksmiths leamington spa,,70,"0.27,0.63,0.81,0.63,0.81,1.00,0.81,1.00,0.45,0.81,0.45,0.45",,9.22,
leamington spa locksmith,,40,"0.20,0.80,1.00,1.00,0.60,1.00,1.00,1.00,0.20,0.40,0.40,0.40",,9.22,
locksmiths warwick,,40,"0.42,0.71,1.00,0.71,0.71,0.71,0.71,0.57,0.57,0.14,0.14,0.42",,10.56,
emergency locksmith warwick,,30,"1.00,1.00,0.60,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40,0.40",,9.35,
locksmiths kenilworth,,30,"0.43,0.57,0.57,0.57,0.57,1.00,0.43,0.29,1.00,0.14,0.14,0.00",,10.08,
warwick locksmith,,30,"1.00,0.80,0.60,0.80,0.80,0.60,0.60,0.60,0.60,0.60,0.40,0.60",,10.56,
bedworth locksmith,,20,"0.50,1.00,1.00,1.00,1.00,1.00,0.50,0.50",,0.00,
emergency locksmith kenilworth,,20,"0.28,1.00,1.00,0.57,0.28,0.28,0.14,0.14,0.14,0.00,0.00,0.00",,0.00,
emergency locksmith nuneaton,,20,"0.47,0.47,0.47,0.00,0.47,0.47,1.00,0.74,0.47,0.47,0.47,1.00",,9.10,
locksmiths stratford upon avon,,20,"0.29,0.43,0.29,0.29,0.29,0.14,0.29,0.29,1.00,0.14,0.00,0.14",,6.76,
kenilworth locksmith,,10,"0.50,0.50,1.00,1.00,0.50,1.00,0.50,1.00,0.50,0.50,1.00,0.50",,10.08,
locksmith near me coventry,,10,"0.50,0.00,1.00",,0.00,
anti snap locks coventry,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,
emergency boarding up warwick,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,
emergency locksmith stratford upon avon,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00",,0.00,
stratford upon avon locksmith,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,
upvc door lock repair coventry,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,
