Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),SERP Features
bs3621 locks,Informational,390,"0.44,0.44,0.44,0.36,0.44,0.81,0.29,0.66,1.00,0.54,0.54,0.23",9,0.59,"Reviews, Image pack, Video, Video carousel, People also ask, Related searches, Popular products"
locked out of house,Informational,390,"0.82,1.00,1.00,1.00,0.66,1.00,0.82,1.00,1.00,1.00,0.82,0.82",16,6.78,"Sitelinks, AI Overview, Reviews, Video, Video carousel, Short videos, People also ask, Related searches"
24 hour emergency locksmith,Commercial,320,"0.09,0.67,1.00,0.45,0.45,0.36,0.54,0.36,0.24,0.36,0.15,0.12",24,7.94,"Reviews, Video, People also ask, Local pack, Related searches"
anti snap door locks,Informational,320,"0.36,0.15,0.36,0.44,0.54,0.44,0.67,0.54,1.00,0.54,0.54,0.44",14,0.32,"Sitelinks, AI Overview, Reviews, Video, Video carousel, People also ask, Related searches, Popular products"
bs3621 lock,Informational,320,"0.35,0.54,0.35,0.54,0.54,0.81,0.54,0.54,1.00,0.66,0.54,0.44",8,0.59,"AI Overview, Reviews, Video, Video carousel, People also ask, Related searches, Popular products"
door lock cylinder replacement,Informational,320,"0.12,0.15,0.23,0.36,0.54,1.00,0.54,0.44,0.29,0.29,0.36,0.36",19,0.78,"Reviews, Video, Video carousel, Short videos, People also ask, Related searches, Popular products"
upvc door lock mechanism replacement,Informational,320,"0.43,0.66,0.66,0.66,1.00,0.81,0.66,0.81,0.66,0.81,1.00,1.00",7,1.19,"Reviews, Image pack, Video, Video carousel, Short videos, People also ask, Related searches, Popular products"
upvc door lock repair,Commercial,320,"0.29,0.66,0.81,0.54,0.54,0.43,0.81,1.00,1.00,1.00,0.81,0.81",7,2.96,"Reviews, Image pack, Video, Video carousel, People also ask, Local pack, Related searches"
change door locks,Commercial,260,"0.23,0.67,0.36,0.44,0.44,0.36,0.28,1.00,0.23,0.23,0.23,0.19",28,3.03,"Sitelinks, AI Overview, Reviews, Video, Video carousel, People also ask, Local pack, Related searches, Popular products"
composite door lock replacement,Informational,260,"0.66,0.66,0.66,0.82,0.82,1.00,0.82,1.00,0.66,0.82,0.82,0.82",13,1.53,"AI Overview, Reviews, Video, Video carousel, People also ask, Related searches, Popular products"
emergency boarding up service,Commercial,260,"0.05,0.43,0.53,1.00,0.82,0.82,0.82,1.00,0.82,0.82,0.28,0.35",5,27.64,"Video, Local pack, Related searches, Ads bottom"
locked out of my house,Informational,260,"0.67,0.33,1.00,1.00,0.67,0.33,0.33,0.67,0.33,0.67,0.67,0.33",13,6.18,"Sitelinks, AI Overview, Reviews, Video, Video carousel, Short videos, People also ask, Related searches, Ads bottom"
locksmith service,Commercial,260,"0.81,0.67,1.00,0.43,0.43,0.43,0.67,0.36,0.67,0.43,0.81,0.81",21,8.67,"Reviews, Video, People also ask, Local pack, Related searches"
emergency locksmith cost,Informational,210,"0.64,0.80,0.80,0.80,1.00,1.00,0.80,1.00,0.64,0.64,0.52,0.64",19,3.16,"Sitelinks, Reviews, Video, People also ask, Related searches"
lock change near me,Transactional,210,"1.00,0.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",20,10.41,"Reviews, Video, People also ask, Local pack, Related searches"
replacement front door lock,Commercial,170,"0.54,0.35,0.43,0.35,0.35,1.00,0.28,0.54,0.28,0.35,0.28,0.43",27,2.75,"Reviews, Video, Video carousel, People also ask, Related searches, Popular products"
upvc door lock repair near me,Transactional,170,"0.34,1.00,0.43,0.52,0.52,0.65,0.52,0.80,0.43,0.52,0.43,0.65",7,3.16,"Reviews, Video, People also ask, Local pack, Related searches"
upvc lock repair,Transactional,170,"0.54,0.65,0.80,0.65,1.00,0.41,0.33,0.54,0.65,0.80,0.54,0.41",4,3.22,"Reviews, Video, Video carousel, Short videos, People also ask, Local pack, Related searches"
board up service,Informational,140,"0.22,0.17,0.27,1.00,0.36,0.17,0.22,0.22,0.17,0.22,0.17,0.17",8,4.82,"AI Overview, Reviews, People also ask, Knowledge panel, Related searches"
multipoint door lock replacement,Informational,140,"0.24,0.82,0.82,0.82,1.00,1.00,0.82,1.00,0.82,1.00,0.82,1.00",13,1.12,"AI Overview, Reviews, Video, Video carousel, People also ask, Discussions and forums, Related searches, Popular products"
anti snap barrel locks,"Informational, Transactional",110,"0.09,0.33,0.52,0.33,0.66,0.66,0.42,0.52,1.00,0.66,0.42,0.33",19,0.23,"Sitelinks, Reviews, Video, Video carousel, People also ask, Related searches, Popular products"
emergency boarding up services,Commercial,110,"0.64,0.64,0.64,1.00,0.64,0.82,1.00,1.00,0.82,1.00,0.64,0.82",4,27.64,"Video, Local pack, Related searches"
lock replacement near me,Transactional,110,"0.79,1.00,0.79,0.50,0.79,0.64,0.64,0.64,0.64,1.00,0.79,0.64",11,8.53,"Reviews, Video, People also ask, Local pack, Related searches"
lockout service,Commercial,110,"0.24,0.53,0.43,1.00,0.53,0.43,0.53,0.33,0.33,0.33,0.43,0.53",4,0.00,"Reviews, Video, People also ask, Local pack, Related searches"
emergency boarding up cost,Informational,90,"0.52,1.00,0.82,0.64,0.64,0.64,0.41,0.52,0.41,0.52,0.64,0.41",6,1.11,"Sitelinks, Reviews, People also ask, Related searches"
home lock replacement,Commercial,90,"0.14,0.50,0.29,0.79,1.00,0.64,0.79,0.79,0.64,0.64,0.64,0.64",30,5.01,"Reviews, Video, Video carousel, People also ask, Local pack, Related searches, Popular products"
anti snap euro cylinder locks,,70,"0.13,0.13,0.47,0.33,0.33,1.00,0.33,1.00,0.80,0.80,0.47,0.80",,0.42,
locked out of house locksmith,,70,"0.29,0.82,1.00,0.52,0.40,0.40,0.40,0.40,0.23,0.40,0.29,0.29",,10.41,
anti snap locks upvc doors,,50,"0.33,0.50,0.50,0.75,0.50,0.75,0.42,1.00,0.75,0.50,0.75,0.75",,0.42,
emergency lockout service,,50,"0.21,1.00,0.76,0.56,0.76,0.56,0.56,0.56,0.56,0.56,0.56,0.76",,5.69,
insurance approved locks,,40,"0.27,1.00,1.00,0.58,0.70,0.42,0.27,0.27,0.27,0.58,0.58,0.58",,2.45,
locksmith open now,,40,"0.22,0.55,0.78,1.00,0.78,0.78,0.55,0.22,0.44,0.22,0.22,0.22",,10.25,
multipoint lock repair,,30,"0.28,0.28,0.56,0.56,1.00,0.42,0.56,0.56,0.42,0.28,0.28,0.28",,3.04,
door opening service,,20,"0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,1.00",,5.95,
emergency window boarding up,,20,"0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,1.00,0.28,0.28",,7.83,
house lockout,,20,"0.48,1.00,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.22,0.48",,0.00,
locksmith for locked out of house,,20,"1.00,1.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",,22.66,
non destructive entry,,20,"0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,1.00,0.47,0.47,0.47",,0.00,
door lock upgrade,,10,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00",,1.83,
lock upgrade,,10,"0.00,1.00,0.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00",,0.00,
new lock fitting,,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,
